Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,0.484000,0.484000,0.484000,0.484000,0.484000,0
2015-11-25,0.484000,0.484000,0.484000,0.484000,0.484000,0
2015-11-27,0.484000,0.484000,0.484000,0.484000,0.484000,0
2015-11-30,0.589000,0.589000,0.470000,0.560000,0.560000,42700
2015-12-01,0.575000,0.575000,0.521000,0.521000,0.521000,7500
2015-12-02,0.528000,0.528000,0.519000,0.519000,0.519000,7300
2015-12-03,0.500000,0.513000,0.500000,0.507000,0.507000,8100
2015-12-04,0.514000,0.514000,0.492000,0.506000,0.506000,2400
2015-12-07,0.500000,0.500000,0.500000,0.500000,0.500000,2000
2015-12-08,0.500000,0.512000,0.491000,0.491000,0.491000,11500
2015-12-09,0.485000,0.485000,0.485000,0.485000,0.485000,1000
2015-12-10,0.444000,0.444000,0.402000,0.429000,0.429000,24000
2015-12-11,0.422000,0.422000,0.422000,0.422000,0.422000,4500
2015-12-14,0.422000,0.422000,0.422000,0.422000,0.422000,0
2015-12-15,0.421000,0.421000,0.410000,0.410000,0.410000,3100
2015-12-16,0.421000,0.425000,0.421000,0.422000,0.422000,8400
2015-12-17,0.404000,0.404000,0.400000,0.400000,0.400000,11000
2015-12-18,0.405000,0.415000,0.397000,0.407000,0.407000,41800
2015-12-21,0.400000,0.400000,0.378000,0.378000,0.378000,3200
2015-12-22,0.379000,0.379000,0.371000,0.371000,0.371000,7100
2015-12-23,0.190000,0.369000,0.190000,0.369000,0.369000,10100
2015-12-24,0.369000,0.369000,0.369000,0.369000,0.369000,0
2015-12-28,0.369000,0.369000,0.369000,0.369000,0.369000,0
2015-12-29,0.421000,0.421000,0.406000,0.406000,0.406000,10500
2015-12-30,0.421000,0.421000,0.419000,0.419000,0.419000,1600
2015-12-31,0.419000,0.419000,0.419000,0.419000,0.419000,0
2016-01-04,0.419000,0.419000,0.419000,0.419000,0.419000,500
2016-01-05,0.439000,0.440000,0.438000,0.439000,0.439000,66000
2016-01-06,0.432000,0.436000,0.422000,0.436000,0.436000,4500
